text,intent
hi are you there? just checking in,greeting
hello there want to know something,greeting
hey kindly,greeting
hello there I have a query,greeting
hi team can you assist?,greeting
hi hotel need info,greeting
hello my friend just checking in,greeting
hello need info,greeting
hey I have a question just checking in,greeting
hey please need info,greeting
hello hotel staff need info,greeting
hey all can you assist?,greeting
hello support looking for help,greeting
hello reception,greeting
hello reception got a quick question,greeting
hi are you available? can I ask something?,greeting
hello I need help,greeting
hey everyone need your assistance,greeting
hey good sir need support,greeting
hey hotel looking for help,greeting
hey good sir need info,greeting
hello team can you assist?,greeting
hello please can I ask something?,greeting
hi I need some assistance looking for help,greeting
hey support got a quick question,greeting
hello kindly need support,greeting
hi hotel staff looking for help,greeting
hi all want to know something,greeting
hi are you online? got a quick question,greeting
hi there can you assist?,greeting
hey staff need your assistance,greeting
hey staff need support,greeting
hey hotel staff need info,greeting
good afternoon need support,greeting
hi all got a quick question,greeting
hello I have a question want to know something,greeting
hi kindly,greeting
hello please,greeting
hi are you available? just checking in,greeting
good afternoon can I ask something?,greeting
hi staff,greeting
can I ask something?,greeting
hey everyone looking for help,greeting
hey good sir just checking in,greeting
hello staff can I ask something?,greeting
hi can you help me? want to know something,greeting
hey please just checking in,greeting
hi I need help looking for help,greeting
hello kindly,greeting
hello kindly looking for help,greeting
hey are you online? need support,greeting
hi are you available? need your assistance,greeting
hey staff want to know something,greeting
hello can you help me? can you assist?,greeting
hello can you help me? need support,greeting
hi anyone there? got a quick question,greeting
hi please can you assist?,greeting
hey everyone I have a query,greeting
hi staff can I ask something?,greeting
hey are you available? can you assist?,greeting
hey my friend just checking in,greeting
hi I need some assistance I have a query,greeting
hello reception looking for help,greeting
hey can you help me? need info,greeting
hello please just checking in,greeting
hey everyone can I ask something?,greeting
hello good sir can I ask something?,greeting
hi I have a query,greeting
hey I need help can I ask something?,greeting
hey I need some assistance,greeting
hey need info,greeting
hello kindly want to know something,greeting
hello folks just checking in,greeting
hello everyone need info,greeting
hello everyone want to know something,greeting
hey my friend got a quick question,greeting
hello support,greeting
hey reception,greeting
hey I have a question need support,greeting
hi team just checking in,greeting
hi hotel I have a query,greeting
hello can you help me? just checking in,greeting
hi folks can you assist?,greeting
hello hotel staff looking for help,greeting
hello are you available? need support,greeting
hi my friend,greeting
hi need support,greeting
hi I need some assistance can I ask something?,greeting
hello I have a question can you assist?,greeting
hi my friend just checking in,greeting
hello team looking for help,greeting
hey hotel staff got a quick question,greeting
hey hotel can you assist?,greeting
hi are you there? can I ask something?,greeting
hello hotel looking for help,greeting
hey I have a question need info,greeting
hi kindly can you assist?,greeting
hello are you there? need info,greeting
hey reception want to know something,greeting
hey hotel staff can you assist?,greeting
hey are you there? can you assist?,greeting
hello everyone can I ask something?,greeting
good morning,greeting
hello are you there?,greeting
hi good sir want to know something,greeting
hi are you there? got a quick question,greeting
hey all need info,greeting
hello I need some assistance I have a query,greeting
hey need support,greeting
hi everyone looking for help,greeting
hi need info,greeting
howdy got a quick question,greeting
hey hotel just checking in,greeting
hey good sir can I ask something?,greeting
hi folks I have a query,greeting
hello reception just checking in,greeting
hello hotel staff can I ask something?,greeting
hey my friend can you assist?,greeting
hi want to know something,greeting
hey there,greeting
hey are you online? looking for help,greeting
got a quick question,greeting
hi are you online? I have a query,greeting
hey can you help me? need your assistance,greeting
hi reception can you assist?,greeting
hello support can you assist?,greeting
hey staff I have a query,greeting
hey anyone there? need info,greeting
howdy I have a query,greeting
hello anyone there? can you assist?,greeting
hey team got a quick question,greeting
hi reception,greeting
hi reception need support,greeting
hello hotel got a quick question,greeting
hello team need info,greeting
hello support just checking in,greeting
hi just checking in,greeting
hello good sir can you assist?,greeting
hey my friend need your assistance,greeting
hey please looking for help,greeting
hi are you there? can you assist?,greeting
hello please need info,greeting
hey staff need info,greeting
hello my friend I have a query,greeting
hey support need your assistance,greeting
hey hotel staff need support,greeting
hey hotel got a quick question,greeting
good day to you can I ask something?,greeting
hi support need info,greeting
good evening,greeting
hello staff need info,greeting
hey just checking in,greeting
hello my friend need info,greeting
hi staff want to know something,greeting
hey good sir looking for help,greeting
hi anyone there? want to know something,greeting
hey,greeting
hello please looking for help,greeting
good day to you got a quick question,greeting
hi anyone there? just checking in,greeting
hello team got a quick question,greeting
hey everyone just checking in,greeting
hey I need help just checking in,greeting
hi good sir I have a query,greeting
hello I have a question need support,greeting
hey folks can I ask something?,greeting
hey are you available? can I ask something?,greeting
hi are you online? want to know something,greeting
hi hotel looking for help,greeting
hey team can I ask something?,greeting
hello reception need your assistance,greeting
hi can I ask something?,greeting
good evening I have a query,greeting
hey hotel need your assistance,greeting
hello folks need support,greeting
hello are you available? can you assist?,greeting
hey staff looking for help,greeting
hello everyone I have a query,greeting
good day to you just checking in,greeting
hi I need help want to know something,greeting
good morning need your assistance,greeting
hi support can you assist?,greeting
hello hotel need info,greeting
hello can you help me? got a quick question,greeting
hey are you there?,greeting
hey are you there? need your assistance,greeting
hello are you there? need your assistance,greeting
hello I have a question got a quick question,greeting
hey I need some assistance got a quick question,greeting
hey reception I have a query,greeting
hello good sir want to know something,greeting
hi staff need info,greeting
hey I need help need support,greeting
hello are you available?,greeting
hello please want to know something,greeting
hey I have a question want to know something,greeting
hey anyone there? looking for help,greeting
hi all need support,greeting
hi I need help need info,greeting
hi I need some assistance need support,greeting
hello are you there? I have a query,greeting
hello all got a quick question,greeting
hey everyone got a quick question,greeting
hello my friend can you assist?,greeting
hello kindly need your assistance,greeting
hello got a quick question,greeting
hello can you help me? can I ask something?,greeting
hey there just checking in,greeting
hey support looking for help,greeting
hello reception need support,greeting
hey I have a question looking for help,greeting
hi there I have a query,greeting
hi good sir,greeting
hello team want to know something,greeting
good morning just checking in,greeting
hi I have a question,greeting
hello good sir,greeting
hey folks want to know something,greeting
hi reception I have a query,greeting
hello staff need your assistance,greeting
hello all can I ask something?,greeting
good afternoon can you assist?,greeting
hi looking for help,greeting
hello there can you assist?,greeting
hi there want to know something,greeting
hey hotel,greeting
hi good sir can you assist?,greeting
hi everyone need your assistance,greeting
hi please need info,greeting
hey I have a question can you assist?,greeting
hey are you online? can I ask something?,greeting
good afternoon need info,greeting
hello are you available? I have a query,greeting
hey are you online? got a quick question,greeting
good afternoon got a quick question,greeting
hello anyone there? just checking in,greeting
good afternoon,greeting
hey I have a question can I ask something?,greeting
hey I need some assistance can I ask something?,greeting
hey folks can you assist?,greeting
hey are you online? want to know something,greeting
hello my friend,greeting
hello are you available? looking for help,greeting
hi good sir looking for help,greeting
hey kindly want to know something,greeting
good evening can you assist?,greeting
hi anyone there? can I ask something?,greeting
hello folks want to know something,greeting
hi folks got a quick question,greeting
hello my friend looking for help,greeting
hey staff can I ask something?,greeting
good morning looking for help,greeting
hey kindly looking for help,greeting
hi hotel staff I have a query,greeting
hey hotel staff just checking in,greeting
hi good sir need your assistance,greeting
hello hotel staff got a quick question,greeting
hi can you help me?,greeting
hello I have a question need info,greeting
I have a query,greeting
hey hotel need support,greeting
hi are you online?,greeting
hello support can I ask something?,greeting
hello team just checking in,greeting
hey support want to know something,greeting
hello staff,greeting
hello kindly can you assist?,greeting
hey support need support,greeting
hey anyone there? I have a query,greeting
hello anyone there?,greeting
hi hotel want to know something,greeting
good day to you need support,greeting
hello all want to know something,greeting
hey good sir got a quick question,greeting
hi are you available? can you assist?,greeting
